doc_key,mention_ind,is_dialogue,output_string
209_the_turn_of_the_screw_brat_0,128,True,"- Mention: he
- Sentence: ""She was a most charming person, but she was ten years older than I. She was my sister's governess,"" he quietly said.
- Is the sentence a dialogue or part of dialogue: True"
2641_a_room_with_a_view_brat_0,168,True,"- Mention: your
- Sentence: ""Eat {{your}} (#This is the marked mention) dinner, dear,"" she said to Lucy, and began to toy again with the meat that she had once censured.
- Is the sentence a dialogue or part of dialogue: True"
1260_jane_eyre_an_autobiography_brat_0,172,True,"- Mention: you
- Sentence: ""I want you to come here ; "" and seating himself in an arm-chair , he intimated by a gesture that I was to approach and stand before him.
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,126,True,"- Mention: you
- Sentence: ""I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls; though I must throw in a good word for my little Lizzy.""
- Is the sentence a dialogue or part of dialogue: True"
95_the_prisoner_of_zenda_brat_0,2,True,"- Mention: I
- Sentence: ""I wonder when in the world you 're going to do anything , Rudolf ? "" said my brother 's wife .
- Is the sentence a dialogue or part of dialogue: True"
2641_a_room_with_a_view_brat_0,222,True,"- Mention: {{she}}
- Sentence: ""Miss Honeychurch lives in the parish of Summer Street,"" said Miss Bartlett, filling up the gap, ""and {{she}} happened to tell me in the course of conversation that you have just accepted the living --""
- Is the sentence a dialogue or part of dialogue: True"
233_sister_carrie_a_novel_brat_0,234,True,"- Mention: you
- Sentence: ""If you are going there, you will enjoy it immensely. Have you relatives?""
- Is the sentence a dialogue or part of dialogue: True"
432_the_ambassadors_brat_0,126,True,"- Mention: he
- Sentence: ""Oh yes, "" he replied, ""my very well-known friend. He's to meet me here, coming up from Malvern, and I supposed he'd already have arrived. But he doesn't come till later, and I'm relieved not to have kept him. Do you know him?"" Strether wound up.
- Is the sentence a dialogue or part of dialogue: True"
45_anne_of_green_gables_brat_0,239,True,"- Mention: you
- Sentence: ""I was kind of afraid you were n't, though, when I saw Matthew starting off today.""
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,265,True,"- Mention: my
- Sentence: ""Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to her.""
- Is the sentence a dialogue or part of dialogue: True"
76_adventures_of_huckleberry_finn_brat_0,273,True,"- Mention: {{I}}
- Sentence: ""Well, I know what I 's gwyne to do : I 's gwyne to set down here and listen tell {{I}} hears it agin .""
- Is the sentence a dialogue or part of dialogue: True"
2641_a_room_with_a_view_brat_0,49,True,"- Mention: I
- Sentence: ""Charlotte, you mustn't spoil me: of course, you must look over the Arno, too. I meant that.""
- Is the sentence a dialogue or part of dialogue: True"
2005_piccadilly_jim_brat_0,191,True,"- Mention: You
- Sentence: ""You dropped it there when you heard me come in.""
- Is the sentence a dialogue or part of dialogue: True"
5230_the_invisible_man_a_grotesque_romance_brat_0,110,True,"- Mention: her
- Sentence: ""There ! I clean forgot it. It 's her being so long !""
- Is the sentence a dialogue or part of dialogue: True"
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,153,True,"- Mention: me
- Sentence: ""He wore it all through the Revolution, and it got torn some, 'cause he fit so hard. When he died he told his widder to give it to some smart young feller that had n't got none of his own; so she gave it to me.""
- Is the sentence a dialogue or part of dialogue: True"
217_sons_and_lovers_brat_0,269,True,"- Mention: you
- Sentence: ""You need n't come if you do n't want , "" she said.
- Is the sentence a dialogue or part of dialogue: True"
2852_the_hound_of_the_baskervilles_brat_0,129,True,"- Mention: I
- Sentence: ""Then I was right.""
- Is the sentence a dialogue or part of dialogue: True"
78_tarzan_of_the_apes_brat_0,216,False,"- Mention: his
- Sentence: ""But just that instant the officer turned to leave Lord and Lady Greystoke, and, as he did so, tripped against the sailor and sprawled headlong upon the deck, overturning the water-pail so that he was drenched in its dirty contents.""
- Is the sentence a dialogue or part of dialogue: False"
209_the_turn_of_the_screw_brat_0,119,True,"- Mention: he
- Sentence: ""She was a most charming person, but she was ten years older than I. She was my sister's governess,"" he quietly said.
- Is the sentence a dialogue or part of dialogue: True"
217_sons_and_lovers_brat_0,156,True,"- Mention: You
- Sentence: ""You can have your dinner as soon as it 's done,"" replied the mother.
- Is the sentence a dialogue or part of dialogue: True"
105_persuasion_brat_0,156,False,"- Mention: she
- Sentence: To Lady Russell, indeed, she was a most dear and highly valued god-daughter, favourite, and friend.
- Is the sentence a dialogue or part of dialogue: False"
233_sister_carrie_a_novel_brat_0,214,True,"- Mention: you
- Sentence: ""If you are going there, you will enjoy it immensely. Have you relatives?""
- Is the sentence a dialogue or part of dialogue: True"
2852_the_hound_of_the_baskervilles_brat_0,20,True,"- Mention: you
- Sentence: "" How did {{you}} (#This is the marked mention) know what I was doing ? I believe you have eyes in the back of your head . ""
- Is the sentence a dialogue or part of dialogue: True"
502_desert_gold_brat_0,204,False,"- Mention: {{him}}
- Sentence: ""In those years only three men had wandered into the desert with {{him}} (#This is the marked mention) , and these had left their bones to bleach in the shifting sands.""
- Is the sentence a dialogue or part of dialogue: False"
2005_piccadilly_jim_brat_0,109,True,"- Mention: Ogden Ford
- Sentence: ""I wish you would not eat candy all day.""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,216,True,"- Mention: your
- Sentence: ""Believe me, sir,"" said Curtis, with faltering voice, feigning an emotion which he did not feel, ""believe me, that I fully appreciate your goodness. I am sure Florence joins with me ----""
- Is the sentence a dialogue or part of dialogue: True"
174_the_picture_of_dorian_gray_brat_0,71,True,"- Mention: he
- Sentence: ""I know you will laugh at me,"" he replied, ""but I really can't exhibit it. I have put too much of myself into it.""
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,142,True,"- Mention: you
- Sentence: ""But I desire you will do no such thing. Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia. But you are always giving her the preference.""
- Is the sentence a dialogue or part of dialogue: True"
24_o_pioneers_brat_0,134,True,"- Mention: my kitten
- Sentence: ""My kitten , sister, my kitten ! A man put her out , and a dog chased her up there.""
- Is the sentence a dialogue or part of dialogue: True"
174_the_picture_of_dorian_gray_brat_0,39,True,"- Mention: I
- Sentence: "" I do n't think I shall send it anywhere , "" he answered , tossing his head back in that odd way that used to make his friends laugh at him at Oxford .
- Is the sentence a dialogue or part of dialogue: True"
502_desert_gold_brat_0,139,True,"- Mention: I
- Sentence: "" {{I}} (#This is the marked mention) may strike through the Sonora Desert . I may head for Pinacate or north for the Colorado Basin . You are an old man . ""
- Is the sentence a dialogue or part of dialogue: True"
1260_jane_eyre_an_autobiography_brat_0,281,True,"- Mention: I
- Sentence: ""You have no business to take our books; you are a dependent, mama says; you have no money; your father left you none; you ought to beg, and not to live here with gentlemen's children like us, and eat the same meals we do, and wear clothes at our mama's expense. Now, I 'll teach you to rummage my bookshelves: for they are mine; all the house belongs to me, or will do in a few years.""
- Is the sentence a dialogue or part of dialogue: True"
209_the_turn_of_the_screw_brat_0,36,True,"- Mention: I
- Sentence: ""Oh , thank God , no ! ""
- Is the sentence a dialogue or part of dialogue: True"
110_tess_of_the_durbervilles_a_pure_woman_brat_0,250,True,"- Mention: me
- Sentence: ""That is if knights were baronets -- which they be. 'T is recorded in history all about {{me}} (#This is the marked mention). Dost know of such a place, lad, as Kingsbere-sub-Greenhill?""
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,149,False,"- Mention: he
- Sentence: I earnestly expressed my hope that he would n't , and held tighter to the tombstone on which he had put me ; partly , to keep myself upon it ; partly , to keep myself from crying .
- Is the sentence a dialogue or part of dialogue: False"
2005_piccadilly_jim_brat_0,231,True,"- Mention: you
- Sentence: ""What do you mean ?""
- Is the sentence a dialogue or part of dialogue: True"
209_the_turn_of_the_screw_brat_0,205,True,"- Mention: I
- Sentence: ""More 's the pity, then. That 's the only way I ever understand.""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,350,True,"- Mention: me
- Sentence: ""There is no doubt about it. He has spoken to {{me}} more than once on the subject.""
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,108,True,"- Mention: you
- Sentence: "" It is more than I engage for , I assure you . ""
- Is the sentence a dialogue or part of dialogue: True"
209_the_turn_of_the_screw_brat_0,81,True,"- Mention: I
- Sentence: ""I can't begin. I shall have to send to town.""
- Is the sentence a dialogue or part of dialogue: True"
345_dracula_brat_0,324,True,"- Mention: your
- Sentence: She saw, I suppose, the doubt in my face, for she put the rosary round my neck, and said, ""For your mother’s sake,"" and went out of the room.
- Is the sentence a dialogue or part of dialogue: True"
155_the_moonstone_brat_0,265,True,"- Mention: your
- Sentence: ""Tell me first, "" I said, ""how the Indian in the armoury met his death, and what those last words meant, when he pointed to the dagger in {{your}} hand.""
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,207,False,"- Mention: {{me}}
- Sentence: ""After each question he tilted {{me}} over a little more, so as to give me a greater sense of helplessness and danger.""
- Is the sentence a dialogue or part of dialogue: False"
78_tarzan_of_the_apes_brat_0,218,False,"- Mention: he
- Sentence: The big fellow, who was known among his mates as Black Michael, tried his leg gingerly, and, finding that it bore his weight, turned to Clayton with a word of gruff thanks.
- Is the sentence a dialogue or part of dialogue: False"
11231_bartleby_the_scrivener_a_story_of_wallstreet_brat_0,197,True,"- Mention: I
- Sentence: ""True, -- but, with submission, sir, behold these hairs! I am getting old. Surely, sir, a blot or two of a warm afternoon is not to be severely urged against gray hairs. Old age -- even if it blot the page -- is honorable. With submission, sir, we both are getting old.""
- Is the sentence a dialogue or part of dialogue: True"
5230_the_invisible_man_a_grotesque_romance_brat_0,57,True,"- Mention: I
- Sentence: ""Can {{I}} (#This is the marked mention) take your hat and coat, sir?"" she said, ""and give them a good dry in the kitchen?""
- Is the sentence a dialogue or part of dialogue: True"
27_far_from_the_madding_crowd_brat_0,210,False,"- Mention: him
- Sentence: The redjacketed and dark-haired maiden seemed to think so too, for she carelessly glanced over him, and told her man to drive on.
- Is the sentence a dialogue or part of dialogue: False"
514_little_women_brat_0,149,True,"- Mention: I
- Sentence: ""I hate affected, niminy-piminy chits!""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,43,True,"- Mention: you
- Sentence: ""If he had died, I might, as you say, have become reconciled; but he was abducted at the age of four by a revengeful servant whom I had discharged from my employment.""
- Is the sentence a dialogue or part of dialogue: True"
12677_personality_plus_some_experiences_of_emma_mcchesney_and_her_son_jock_brat_0,228,True,"- Mention: I
- Sentence: ""You 're a jealous blonde , "" he laughed . "" Because I 'm going to be a captain of finance -- an advertising wizard ; you 're afraid {{I}} (#This is the marked mention) 'll grab the glory all away from you . ""
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,238,False,"- Mention: {{me}}
- Sentence: ""He gave me a most tremendous dip and roll, so that the church jumped over its own weathercock.""
- Is the sentence a dialogue or part of dialogue: False"
174_the_picture_of_dorian_gray_brat_0,47,True,"- Mention: I
- Sentence: "" No , I wo n't send it anywhere . ""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,226,True,"- Mention: me
- Sentence: "" My uncle needs no assurance from {{me}} (#This is the marked mention) . He is always kind , and I am always grateful . ""
- Is the sentence a dialogue or part of dialogue: True"
217_sons_and_lovers_brat_0,151,True,"- Mention: my
- Sentence: ""Can I have {{my}} (#This is the marked mention) dinner, mother?"" he cried, rushing in with his cap on.
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,166,True,"- Mention: I
- Sentence: ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least.""
- Is the sentence a dialogue or part of dialogue: True"
345_dracula_brat_0,284,True,"- Mention: I
- Sentence: ""Oh , yes ! I know that ! I know that , but do you know what day it is ?""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,247,True,"- Mention: your
- Sentence: ""Have you so specified in {{your}} will ? "" asked Curtis.
- Is the sentence a dialogue or part of dialogue: True"
4276_north_and_south_brat_0,317,True,"- Mention: I
- Sentence: ' Ah Newton ! ' said she , ' {{I}} (#This is the marked mention) think we shall all be sorry to leave this dear old room . '
- Is the sentence a dialogue or part of dialogue: True"
171_charlotte_temple_brat_0,209,True,"- Mention: You
- Sentence: "" {{You}} (#This is the marked mention) can not oblige me more , "" said Temple , "" than to point out any way by which I can be serviceable to my fellow creatures . ""
- Is the sentence a dialogue or part of dialogue: True"
1260_jane_eyre_an_autobiography_brat_0,140,True,"- Mention: she
- Sentence: ""Where the dickens is she ! "" he continued.
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,318,True,"- Mention: Mr. Bingley
- Sentence: ""I am sick of Mr. Bingley,"" cried his wife.
- Is the sentence a dialogue or part of dialogue: True"
2005_piccadilly_jim_brat_0,196,True,"- Mention: you
- Sentence: ""You dropped it there when you heard me come in.""
- Is the sentence a dialogue or part of dialogue: True"
174_the_picture_of_dorian_gray_brat_0,258,True,"- Mention: Dorian Gray
- Sentence: ""I want you to explain to me why you wo n't exhibit Dorian Gray 's picture.""
- Is the sentence a dialogue or part of dialogue: True"
84_frankenstein_or_the_modern_prometheus_brat_0,337,False,"- Mention: he
- Sentence: He saw his mistress once before the destined ceremony; but she was bathed in tears, and throwing herself at his feet, entreated him to spare her, confessing at the same time that she loved another, but that he was poor, and that her father would never consent to the union.
- Is the sentence a dialogue or part of dialogue: False"
543_main_street_brat_0,267,True,"- Mention: YOU
- Sentence: ""You'd be good for a fellow that was too serious. Make him more -- more -- {{YOU}} know -- sympathetic!""
- Is the sentence a dialogue or part of dialogue: True"
174_the_picture_of_dorian_gray_brat_0,252,True,"- Mention: you
- Sentence: "" I will tell {{you}} (#This is the marked mention) what it is . I want you to explain to me why you wo n't exhibit Dorian Gray 's picture . I want the real reason . ""
- Is the sentence a dialogue or part of dialogue: True"
73_the_red_badge_of_courage_an_episode_of_the_american_civil_war_brat_0,60,False,"- Mention: He
- Sentence: The tall soldier felt called upon to defend the truth of a rumor he himself had introduced. He and the loud one came near to fighting over it.
- Is the sentence a dialogue or part of dialogue: False"
805_this_side_of_paradise_brat_0,220,True,"- Mention: {{me}}
- Sentence: ""They try to impress _ {{me}} _ , my dear -- ""
- Is the sentence a dialogue or part of dialogue: True"
805_this_side_of_paradise_brat_0,112,True,"- Mention: I
- Sentence: ""I am feeling very old to-day, Amory,"" she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt's.
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,32,True,"- Mention: I
- Sentence: "" It is long since I have heard you refer to my cousin 's loss. I thought you had become reconciled -- no, I do not mean that, -- I thought your regret might be less poignant.""
- Is the sentence a dialogue or part of dialogue: True"
209_the_turn_of_the_screw_brat_0,179,True,"- Mention: I
- Sentence: ""I see. She was in love.""
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,122,True,"- Mention: I
- Sentence: "" You are over-scrupulous , surely . I dare say Mr. Bingley will be very glad to see you ; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls ; though I must throw in a good word for my little Lizzy . ""
- Is the sentence a dialogue or part of dialogue: True"
2852_the_hound_of_the_baskervilles_brat_0,249,True,"- Mention: I
- Sentence: ""Do n't move, I beg you, Watson.""
- Is the sentence a dialogue or part of dialogue: True"
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,203,True,"- Mention: I
- Sentence: ""All right, sir ; I 'll bring it .""
- Is the sentence a dialogue or part of dialogue: True"
155_the_moonstone_brat_0,257,False,"- Mention: him
- Sentence: I waited before I gave him my hand in return.
- Is the sentence a dialogue or part of dialogue: False"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,25,True,"- Mention: my
- Sentence: "" First , the death of my dearly beloved wife , and next , the loss of my boy , Harvey . ""
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,212,False,"- Mention: me
- Sentence: ""He tilted {{me}} (#This is the marked mention) again.""
- Is the sentence a dialogue or part of dialogue: False"
110_tess_of_the_durbervilles_a_pure_woman_brat_0,84,False,"- Mention: your
- Sentence: ""In the reign of King John one of them was rich enough to give a manor to the Knights Hospitallers; and in Edward the Second's time your forefather Brian was summoned to Westminster to attend the great Council there.""
- Is the sentence a dialogue or part of dialogue: False"
1400_great_expectations_brat_0,258,True,"- Mention: I
- Sentence: ""Now , I ai n't alone , as you may think I am . There 's a young man hid with me , in comparison with which young man I am a Angel .""
- Is the sentence a dialogue or part of dialogue: True"
209_the_turn_of_the_screw_brat_0,105,True,"- Mention: {{You}}
- Sentence: ""And is the record yours ? {{You}} (#This is the marked mention) took the thing down ? ""
- Is the sentence a dialogue or part of dialogue: True"
4217_a_portrait_of_the_artist_as_a_young_man_brat_0,154,False,"- Mention: him
- Sentence: And his father had told him if he wanted anything to write home to him and, whatever he did, never to peach on a fellow.
- Is the sentence a dialogue or part of dialogue: False"
2005_piccadilly_jim_brat_0,218,True,"- Mention: I
- Sentence: ""All right. Let 's go for a walk. I will if you will.""
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,222,True,"- Mention: your
- Sentence: ""Or I 'll have your heart and liver out.""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,23,True,"- Mention: my
- Sentence: "" First , the death of my dearly beloved wife , and next , the loss of my boy , Harvey . ""
- Is the sentence a dialogue or part of dialogue: True"
215_the_call_of_the_wild_brat_0,243,True,"- Mention: {{me}}
- Sentence: ""A hundred , "" was the reply . "" Would n't take a sou less , so help {{me}} . ""
- Is the sentence a dialogue or part of dialogue: True"
2641_a_room_with_a_view_brat_0,211,True,"- Mention: you
- Sentence: ""I AM so glad to see {{you}} (#This is the marked mention) , "" said the girl, who was in a state of spiritual starvation, and would have been glad to see the waiter if her cousin had permitted it.
- Is the sentence a dialogue or part of dialogue: True"
1206_the_flying_u_ranch_brat_0,150,True,"- Mention: Miguel
- Sentence: ""What 's the joke ? "" he inquired languidly , his chin thrust out and his eyes upon the match blazing at the end of his cigarette.
- Is the sentence a dialogue or part of dialogue: True"
217_sons_and_lovers_brat_0,235,True,"- Mention: I
- Sentence: ""Shall you carry 'em, 'cause I 'm frightened o ' breakin ' 'em?""
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,161,True,"- Mention: my
- Sentence: "" Mr. Bennet , how _ can _ you abuse your own children in such a way ? You take delight in vexing me . You have no compassion for {{my}} (#This is the marked mention) poor nerves . ""
- Is the sentence a dialogue or part of dialogue: True"
1260_jane_eyre_an_autobiography_brat_0,161,True,"- Mention: She
- Sentence: ""Eliza just put her head in at the door, and said at once -- ""She is in the window-seat, to be sure, Jack.""
- Is the sentence a dialogue or part of dialogue: True"
171_charlotte_temple_brat_0,206,True,"- Mention: I
- Sentence: "" You are a benevolent fellow , "" said a young officer to him one day ; "" and {{I}} (#This is the marked mention) have a great mind to give you a fine subject to exercise the goodness of your heart upon . ""
- Is the sentence a dialogue or part of dialogue: True"
76_adventures_of_huckleberry_finn_brat_0,108,True,"- Mention: She
- Sentence: Miss Watson would say, ""Do n't put your feet up there, Huckleberry ;"" and ""Do n't scrunch up like that, Huckleberry -- set up straight ;"" and pretty soon she would say, ""Do n't gap and stretch like that, Huckleberry -- why do n't you try to behave ?""
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,167,True,"- Mention: your
- Sentence: ""Oh ! "" said he , coming back . "" And is that your father alonger your mother ? ""
- Is the sentence a dialogue or part of dialogue: True"
217_sons_and_lovers_brat_0,234,True,"- Mention: you
- Sentence: ""Shall you carry 'em, 'cause I'm frightened o' breakin 'em?""
- Is the sentence a dialogue or part of dialogue: True"
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,166,True,"- Mention: me
- Sentence: ""No , they was a gift from Lewis Napoleon . Lewis had outgrown 'em and sent 'em to {{me}} , -- he 's bigger than me , and that 's why they do n't fit .""
- Is the sentence a dialogue or part of dialogue: True"
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,186,True,"- Mention: I
- Sentence: ""Shall {{I}} (#This is the marked mention) get the money changed, sir?""
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,171,True,"- Mention: you
- Sentence: ""Ah, you do not know what I suffer.""
- Is the sentence a dialogue or part of dialogue: True"
766_david_copperfield_brat_0,279,False,"- Mention: her
- Sentence: My mother was too much afraid of her to refuse compliance with this odd request, if she had any disposition to do so.
- Is the sentence a dialogue or part of dialogue: False"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,206,True,"- Mention: my
- Sentence: "" Yes , Curtis ; you and Florence are equally dear to me , and it is {{my}} (#This is the marked mention) hope that you may be united . In that case , there will be no division of my fortune .""
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,135,True,"- Mention: I
- Sentence: ""I desire you will do no such thing. Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia. But you are always giving her the preference.""
- Is the sentence a dialogue or part of dialogue: True"
432_the_ambassadors_brat_0,143,True,"- Mention: her
- Sentence: ""I 've met him at Milrose -- where I used sometimes, a good while ago, to stay; I had friends there who were friends of his, and I 've been at his house.""
- Is the sentence a dialogue or part of dialogue: True"
217_sons_and_lovers_brat_0,185,True,"- Mention: your
- Sentence: ""Take your pudding in your hand -- and it 's only five past one , so you were wrong -- you have n't got your twopence , "" cried the mother in a breath.
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,172,True,"- Mention: I
- Sentence: ""Ah, you do not know what I suffer.""
- Is the sentence a dialogue or part of dialogue: True"
1400_great_expectations_brat_0,216,False,"- Mention: me
- Sentence: ""He tilted me again.""
- Is the sentence a dialogue or part of dialogue: False"
345_dracula_brat_0,287,True,"- Mention: my
- Sentence: ""Do you know what day it is ?""
- Is the sentence a dialogue or part of dialogue: True"
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,100,True,"- Mention: his
- Sentence: ""How much? "" asked a gentleman on his way to his office.
- Is the sentence a dialogue or part of dialogue: True"
543_main_street_brat_0,242,True,"- Mention: I
- Sentence: ""I know. You _ get _ people. Most of these darn co-eds ---- Say, Carol, you could do a lot for people.""
- Is the sentence a dialogue or part of dialogue: True"
233_sister_carrie_a_novel_brat_0,221,True,"- Mention: she
- Sentence: ""I am going to visit my sister,"" she explained.
- Is the sentence a dialogue or part of dialogue: True"
502_desert_gold_brat_0,144,True,"- Mention: You
- Sentence: ""I may strike through the Sonora Desert. I may head for Pinacate or north for the Colorado Basin. {{You}} are an old man.""
- Is the sentence a dialogue or part of dialogue: True"
18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat_0,231,True,"- Mention: your
- Sentence: "" I do not doubt {{your}} (#This is the marked mention) affection , "" he said ; "" and I have shown it by making you my joint heirs in the event of your marriage ; but it is only fair to say that my property goes to my boy , if he still lives . ""
- Is the sentence a dialogue or part of dialogue: True"
432_the_ambassadors_brat_0,137,True,"- Mention: you
- Sentence: ""Do you know him ? "" Strether wound up .
- Is the sentence a dialogue or part of dialogue: True"
1342_pride_and_prejudice_brat_0,294,True,"- Mention: he
- Sentence: ""What can be the meaning of that emphatic exclamation? "" cried he.
- Is the sentence a dialogue or part of dialogue: True"
209_the_turn_of_the_screw_brat_0,55,True,"- Mention: me
- Sentence: ""Nobody but {{me}} (#This is the marked mention) , till now , has ever heard . It 's quite too horrible .""
- Is the sentence a dialogue or part of dialogue: True"
